"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"461",19,30,0.2895,0.1616,0.0046,0.2825,0.1342,0.0508,0.3333,0.4167,0.0833
"462",19,31,0.4506,0.2515,0.1024,0.4206,0.4574,0.3727,0.4273,0.3591,0.5207
"463",19,32,0.7533,0.4204,0.0373,0.2986,0.2209,0.18,0.3365,0.2256,0.3089
"464",19,33,0.2159,0.1205,0.0339,0.2713,0.3307,0.2286,0.2599,0.3152,0.3161
"465",19,34,0.5312,0.2965,0.0978,0.4722,0.3216,0.2877,0.3976,0.4811,0.3285
"466",19,35,0.671,0.3745,0.0567,0.4275,0.4093,0.2245,0.652,0.7968,0.2633
"467",19,36,0.4233,0.2363,0.1849,0.6388,0.4593,0.3937,0.3201,0.6495,0.4534
"468",19,37,0.6966,0.3888,0.112,0.4328,0.3452,0.3466,0.3476,0.5181,0.4436
"469",19,38,0.1564,0.0873,0.0333,0.5393,0.2414,0.2979,0.375,0.5,0.2417
"470",19,39,0.1651,0.0921,0.0473,0.3664,0.2378,0.2202,0.3333,0.3919,0.2889
"471",19,40,0.9944,0.555,0.0808,0.4872,0.5067,0.3232,0.3443,0.6629,0.5762
"472",19,41,0.4758,0.2655,0.0199,0.3014,0.2698,0.1474,0.2917,0.3744,0.2841
"473",19,42,0.2326,0.1298,0.0787,0.4522,0.445,0.2802,0.3551,0.4796,0.3871
"474",19,45,0.9473,0.5287,0.2355,0.5466,0.3278,0.5326,0.4481,0.5125,0.517
"475",19,46,0.3595,0.2006,0.0221,0.5131,0.4363,0.1883,0.5297,0.4786,0.3508
"476",19,47,0.2457,0.1371,0.0645,0.5111,0.4008,0.2045,0.4052,0.4546,0.4131
"477",19,48,0.5901,0.3293,0.0135,0.2663,0.1982,0.0984,0.3045,0.3444,0.1682
"478",19,49,0.6115,0.3413,0.0429,0.31,0.1412,0.2693,0.274,0.3662,0.3254
"479",19,50,0.2266,0.1265,0.0423,0.352,0.3513,0.2657,0.3074,0.3892,0.3945
"480",19,51,0.4329,0.2416,0.0609,0.2907,0.4752,0.2141,0.352,0.5373,0.3756
"481",19,53,0.8169,0.4559,0.2975,0.6304,0.4092,0.2354,0.4042,0.3944,0.4948
"482",19,54,0.3316,0.1851,0.0956,0.4471,0.3488,0.2268,0.4441,0.5025,0.3749
"483",19,55,0.2586,0.1443,0.0979,0.4493,0.4032,0.427,0.4403,0.5345,0.4606
"484",19,56,0.2816,0.1572,0.0149,0.2354,0.2659,0.08,0.2495,0.1468,0.2862
"485",19,72,0.0454,0.0254,0.0679,0.7052,0.7168,0.2608,0.7022,0.7692,0.7595
"486",20,2,1.2545,0.7002,0.0736,0.3943,0.3854,0.28,0.2427,0.3225,0.2205
"487",21,1,0.6715,0.3748,0.1125,0.4423,0.4158,0.2943,0.4618,0.615,0.4896
"488",21,4,1.1026,0.6154,0.1716,0.3887,0.4272,0.3418,0.3333,0.3084,0.4603
"489",21,5,0.1806,0.1008,0.0454,0.4735,0.5332,0.2348,0.5864,0.6118,0.5249
"490",21,6,0.9595,0.5355,0.0867,0.299,0.3538,0.275,0.3396,0.3691,0.3037
"491",21,8,0.7993,0.4461,0.0701,0.5701,0.3601,0.2675,0.3097,0.4167,0.1844
"492",21,12,0.9049,0.505,0.2491,0.6231,0.271,0.5303,0.2627,0.5674,0.4923
"493",21,13,0.942,0.5257,0.2561,0.5891,0.3787,0.4223,0.4388,0.656,0.5121
"494",21,16,0.3787,0.2114,0.0213,0.332,0.1541,0.1242,0.2916,0.4316,0.2419
"495",21,17,0.2342,0.1307,0.1275,0.6391,0.3073,0.3331,0.4617,0.6776,0.4226
"496",21,18,0.165,0.0921,0.0462,0.4282,0.4359,0.2488,0.4209,0.4382,0.4783
"497",21,19,0.9051,0.5051,0.1899,0.5493,0.6181,0.5241,0.2176,0.1411,0.2085
"498",21,20,0.4871,0.2719,0.0389,0.3336,0.4725,0.2168,0.3585,0.5364,0.5444
"499",21,21,0.5404,0.3016,0.0763,0.3847,0.313,0.3104,0.2385,0.3275,0.3152
"500",21,22,0.6361,0.355,0.1363,0.4172,0.4974,0.2562,0.399,0.3781,0.4915
"501",21,23,0.2127,0.1187,0.0507,0.3775,0.495,0.2364,0.4216,0.6729,0.4494
"502",21,24,0.8221,0.4588,0.1403,0.5084,0.4854,0.4429,0.2427,0.2914,0.3053
"503",21,25,0.7512,0.4192,0.1518,0.548,0.4547,0.3154,0.3851,0.5614,0.3657
"504",21,26,0.807,0.4504,0.3029,0.7259,0.4843,0.3549,0.6087,0.7692,0.5049
"505",21,27,0.541,0.3019,0.3534,0.4078,0.3385,0.3446,0.5312,0.6336,0.4059
"506",21,28,0.519,0.2897,0.1035,0.3219,0.7293,0.5589,0.2911,0.5723,0.5081
"507",21,29,0.5794,0.3234,0.0789,0.4143,0.4322,0.2565,0.3175,0.5042,0.4334
"508",21,30,0.2873,0.1604,0.0409,0.4087,0.4092,0.1751,0.3625,0.3228,0.346
"509",21,31,0.2647,0.1477,0.0525,0.2967,0.4232,0.258,0.3696,0.3623,0.5476
