"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1693",83,37,1.0647,0.5942,0.1336,0.3534,0.4071,0.2051,0.2519,0.6348,0.5106
"1694",83,38,0.2905,0.1621,0,0,0,0,0,0,0
"1695",83,39,0.3573,0.1994,0.0296,0.2989,0.3932,0.2616,0.1572,0.2779,0.237
"1696",83,40,0.9678,0.5401,0.0544,0.5259,0.1826,0.1568,0.5475,0.527,0.1888
"1697",83,42,0.3998,0.2231,0.0962,0.7315,0.3225,0.3349,0.4582,0.5234,0.211
"1698",83,45,1.0407,0.5808,0.1077,0.3981,0.3612,0.3324,0.2948,0.376,0.3657
"1699",83,46,0.4805,0.2682,0.0244,0.3111,0.3466,0.1501,0.1819,0.2254,0.2634
"1700",83,47,0.4392,0.2451,0.0097,0.1856,0.2417,0.1344,0.32,0.22,0.3333
"1701",83,48,0.72,0.4019,0.0145,0.1409,0.2196,0.1519,0.0473,0.2632,0.2269
"1702",83,51,0.9093,0.5075,0.0433,0.2418,0.4315,0.1781,0.2522,0.3574,0.2618
"1703",83,54,0.3316,0.185,0.0329,0.4416,0.408,0.1711,0.4061,0.3986,0.3339
"1704",83,55,0.3482,0.1943,0.0186,0.4311,0.1624,0.1907,0.3741,0.3787,0.2598
"1705",83,72,0.0552,0.0308,0.0208,0.627,0.2619,0.1569,0.4701,0.8889,0.4188
"1706",85,1,0.756,0.422,0.0408,0.2199,0.3466,0.103,0.2524,0.4389,0.2714
"1707",85,5,0.7154,0.3993,0.0741,0.5454,0.2625,0.1705,0.5215,0.6217,0.2487
"1708",85,6,1.3076,0.7298,0.1415,0.3915,0.411,0.4551,0.293,0.3803,0.4469
"1709",85,8,0.7819,0.4364,0.0541,0.2282,0.2112,0.3046,0.2724,0.2194,0.3011
"1710",85,12,0.8255,0.4607,0.1445,0.5372,0.2322,0.4238,0.3767,0.5755,0.4235
"1711",85,13,0.5107,0.285,0.0247,0.1658,0.2001,0.2367,0.0952,0.1148,0.2007
"1712",85,16,0.4591,0.2562,0.0071,0.3892,0.1635,0.1389,0.3578,0.4355,0.0842
"1713",85,17,0.3563,0.1989,0.0252,0.1504,0.2646,0.2524,0.2403,0.2033,0.2263
"1714",85,18,0.5935,0.3313,0.0427,0.3463,0.4268,0.2335,0.2632,0.2076,0.3204
"1715",85,19,0.2644,0.1476,0.008,0.0938,0.0997,0.1526,0.2464,0.1935,0.0775
"1716",85,20,0.7619,0.4252,0.0634,0.3446,0.1708,0.1814,0.1632,0.1738,0.1046
"1717",85,21,0.3166,0.1767,0.0349,0.486,0.2595,0.1558,0.4346,0.5645,0.2013
"1718",85,22,1.052,0.5871,0.1347,0.4757,0.4071,0.2044,0.3967,0.4508,0.3425
"1719",85,26,0.8115,0.4529,0.1075,0.4508,0.359,0.5512,0.2337,0.0918,0.2129
"1720",85,27,0.4784,0.267,0.0351,0.249,0.237,0.2445,0.3555,0.2098,0.3134
"1721",85,28,0.811,0.4526,0.2014,0.5016,0.4934,0.147,0.3972,0.5273,0.4046
"1722",85,29,0.3401,0.1898,0.0049,0.2741,0.2019,0.0546,0.2652,0.4606,0.2288
"1723",85,30,0.9955,0.5556,0.1717,0.1426,0.4323,0.2527,0.2535,0.3537,0.3354
"1724",85,31,0.4459,0.2489,0,NA,0,0,NA,NA,0
"1725",85,36,1.231,0.687,0.1617,0.7276,0.3195,0.4313,0.3432,0.6009,0.3369
"1726",85,37,1.1639,0.6496,0.0314,0.2138,0.3191,0.146,0.233,0.2718,0.2979
"1727",85,38,0.5793,0.3233,0.048,0.3874,0.7207,0.2604,0.127,0.3333,0.4603
"1728",85,39,0.6316,0.3525,0.1218,0.5075,0.2735,0.4673,0.4558,0.4113,0.5407
"1729",85,40,1.0432,0.5822,0.0556,0.3894,0.1733,0.4103,0.0607,0.4569,0.4666
"1730",85,42,0.5179,0.2891,0.1476,0.6382,0.3442,0.2263,0.4657,0.6453,0.3318
"1731",85,45,1.0609,0.5921,0.0941,0.3273,0.2943,0.233,0.2334,0.458,0.258
"1732",85,46,0.8833,0.493,0.5621,0.3124,0.9791,0.3569,0.0444,0.6667,0.6222
"1733",85,47,0.4475,0.2497,0.021,0.3659,0.1243,0.0854,0.3129,0.2679,0.0779
"1734",85,48,1.3427,0.7494,0.0915,0.254,0.4136,0.2618,0.2417,0.3906,0.504
"1735",85,51,0.7392,0.4126,0.0317,0.1979,0.2301,0.2494,0.2294,0.3198,0.3101
"1736",85,54,0.2057,0.1148,0.0088,0.2546,0.269,0.0796,0.175,0.1346,0.1894
"1737",85,55,0.3447,0.1924,0.0255,0.39,0.3014,0.1878,0.3727,0.4832,0.1743
"1738",85,72,0.0404,0.0226,0.0328,0.3565,0.6756,0.0636,0.407,0.6175,0.6775
"1739",86,12,0.957,0.5341,0.2567,0.7375,0.3335,0.4521,0.6876,0.6846,0.3964
"1740",87,1,0.6827,0.381,0.1991,0.5781,0.7497,0.2407,0.3877,0.4679,0.5705
"1741",87,5,0.6086,0.3397,0.0348,0.192,0.5018,0.2709,0.0858,0.3098,0.231
"1742",87,6,1.0679,0.596,0.1821,0.3704,0.3045,0.5353,0.4952,0.238,0.4446
"1743",87,8,0.9475,0.5288,0.0668,0.5166,0.2429,0.26,0.2758,0.3428,0.1082
"1744",87,12,0.9618,0.5368,0.0606,0.4955,0.2897,0.2257,0.3768,0.3179,0.275
"1745",87,13,1.0308,0.5753,0.0525,0.2816,0.3118,0.1716,0.1895,0.275,0.3794
"1746",87,16,0.7289,0.4068,0.0262,0.1925,0.1308,0.1667,0.1185,0.234,0.1155
"1747",87,17,0.6602,0.3684,0.3613,0.8997,0.0284,0.6193,0.2804,0.9179,0.6375
"1748",87,18,0.2985,0.1666,0.078,0.3516,0.2117,0.4654,0.1428,0.3475,0.4341
"1749",87,19,0.5965,0.3329,0.0588,0.4549,0.4329,0.3376,0.2463,0.1919,0.0953
"1750",87,20,0.4383,0.2446,0.0041,0.1244,0.2029,0.0357,0.1379,0.2689,0.1885
"1751",87,21,0.3306,0.1845,0.012,0.2606,0.1631,0.0234,0.2531,0.2167,0.1467
"1752",87,22,1.2129,0.6769,0.0899,0.3904,0.344,0.1199,0.2818,0.4844,0.3912
"1753",87,26,0.4775,0.2665,0.1055,0.6428,0.2597,0.3104,0.6485,0.6622,0.3602
"1754",87,27,1.1146,0.6221,0.0017,0.0601,0.4399,0.0567,0.1169,0.5,0.3831
"1755",87,28,0.9487,0.5295,0.1599,0.4532,0.4484,0.2311,0.4369,0.5506,0.2826
"1756",87,29,0.2703,0.1508,0.0132,0.0992,0.5992,0.2068,0.306,0.5,0.806
"1757",87,30,0.9611,0.5364,0.4131,0.2799,0.2586,0.2991,0.5581,0.5176,0.1745
"1758",87,31,0.2719,0.1517,0,NA,0,0,NA,NA,0
"1759",87,36,1.1415,0.6371,0.1777,0.5581,0.3919,0.4724,0.2941,0.4644,0.4273
"1760",87,37,0.4629,0.2584,0.0199,0.3871,0.2438,0.14,0.3343,0.3623,0.1717
"1761",87,38,0.1946,0.1086,0,NA,NA,0,NA,NA,NA
"1762",87,39,0.3502,0.1954,0.0383,0.4048,0.3755,0.1764,0.3486,0.4937,0.3791
"1763",87,40,0.9109,0.5084,0.0108,0.1501,0.1758,0.1711,0.17,0.1825,0.166
"1764",87,42,0.3031,0.1691,0.041,0.3374,0.2946,0.3215,0.0743,0.418,0.393
"1765",87,45,0.8657,0.4831,0.0553,0.2773,0.2487,0.1629,0.232,0.2534,0.2363
"1766",87,46,0.3367,0.1879,0.0084,0.1065,0.1898,0.0973,0.2038,0.0833,0.2871
